Name,Marks,Grades
Archana,82.0,B
Vedant,87.0,B
Parshv,90.0,B
Archana,82.0,B
Krisha,99.0,A
Parshv,90.0,B
Parshv,90.0,B
Archana,82.0,B
Aadhya,,C
Krisha,99.0,A
Archana,82.0,B
Krisha,99.0,A
Krisha,99.0,A
Parshv,90.0,B
Vedant,87.0,B
Krisha,99.0,A
Mittal,,D
Parshv,90.0,B
Aadhya,,C
Vedant,87.0,B
Mittal,,D
Mittal,,D
Aadhya,,C
Vedant,87.0,B
Parshv,90.0,B
Priyang,98.0,A
Vedant,87.0,B
Aadhya,,C
Mittal,,D
Parshv,90.0,B
Vedant,87.0,B
Priyang,98.0,A
Priyang,98.0,A
Krisha,99.0,A
Krisha,99.0,A
Archana,82.0,B
Aadhya,,C
Vedant,87.0,B
Vedant,87.0,B
Archana,82.0,B
Mittal,,D
Mittal,,D
Archana,82.0,B
Mittal,,D
Krisha,99.0,A
Vedant,87.0,B
Archana,82.0,B
Vedant,87.0,B
Priyang,98.0,A
Krisha,99.0,A
Parshv,90.0,B
Krisha,99.0,A
Archana,82.0,B
Parshv,90.0,B
Priyang,98.0,A
Archana,82.0,B
Aadhya,,C
Vedant,87.0,B
Priyang,98.0,A
Vedant,87.0,B
Mittal,,D
Aadhya,,C
Aadhya,,C
Priyang,98.0,A
Aadhya,,C
Parshv,90.0,B
Aadhya,,C
Vedant,87.0,B
Vedant,87.0,B
Archana,82.0,B
Vedant,87.0,B
Archana,82.0,B
Vedant,87.0,B
Parshv,90.0,B
Archana,82.0,B
Krisha,99.0,A
Mittal,,D
Priyang,98.0,A
Vedant,87.0,B
Aadhya,,C
Vedant,87.0,B
Aadhya,,C
Mittal,,D
Mittal,,D
Mittal,,D
Aadhya,,C
Vedant,87.0,B
Mittal,,D
Parshv,90.0,B
Archana,82.0,B
Aadhya,,C
Aadhya,,C
Vedant,87.0,B
Aadhya,,C
Aadhya,,C
Mittal,,D
Vedant,87.0,B
Mittal,,D
Archana,82.0,B
Archana,82.0,B
Mittal,,D
Archana,82.0,B
Vedant,87.0,B
Priyang,98.0,A
Mittal,,D
Parshv,90.0,B
Parshv,90.0,B
Aadhya,,C
